,cinahl_no,medline_no,cinahl_title,medline_title,cinahl_author,medline_author,not_dup
1520,3088,14132,Automated blood pressure measurement in atrial fibrillation: a systematic review and meta-analysis.,Automated blood pressure measurement in atrial fibrillation: a systematic review  and meta-analysis.,"Stergiou GS; Kollias A; Destounis A; Tzamouranis D; Journal of Hypertension, 2012 Nov; 30 (11): 2074-82. (journal article - meta analysis, research, systematic review) ISSN: 0263-6352 PMID: 22914573 CINAHL AN: 201171131","Stergiou GS(1), Kollias A, Destounis A, Tzamouranis D.",
1521,3090,14139,The prevalence of mental health and pain symptoms in general population samples reporting nonmedical use of prescription opioids: a systematic review and meta-analysis.,The prevalence of mental health and pain symptoms in general population samples reporting nonmedical use of prescription opioids: a systematic review and meta-analysis.,"Fischer B; Lusted A; Roerecke M; Taylor B; Rehm J; Journal of Pain, 2012 Nov; 13 (11): 1029-44. (journal article - meta analysis, research, systematic review) ISSN: 1526-5900 PMID: 23040158 CINAHL AN: 201173730","Fischer B(1), Lusted A, Roerecke M, Taylor B, Rehm J.",
1522,3093,14183,Professional drivers and lung cancer: a systematic review and meta-analysis.,Professional drivers and lung cancer: a systematic review and meta-analysis.,"Tsoi CT; Tse LA; Occupational & Environmental Medicine, 2012 Nov; 69 (11): 831-6. (journal article - meta analysis, research, systematic review) ISSN: 1351-0711 PMID: 22767869 CINAHL AN: 201171201","Tsoi CT(1), Tse LA.",
1523,3099,14221,Cerebrovascular reserve and stroke risk in patients with carotid stenosis or occlusion: a systematic review and meta-analysis.,Cerebrovascular reserve and stroke risk in patients with carotid stenosis or occlusion: a systematic review and meta-analysis.,"Gupta A; Chazen JL; Hartman M; Delgado D; Anumula N; Shao H; Mazumdar M; Segal AZ; Kamel H; Leifer D; et al.; Stroke (00392499), 2012 Nov; 43 (11): 2884-91. (journal article - meta analysis, research, systematic review) ISSN: 0039-2499 PMID: 23091119 CINAHL AN: 201172472","Gupta A(1), Chazen JL, Hartman M, Delgado D, Anumula N, Shao H, Mazumdar M, Segal AZ, Kamel H, Leifer D, Sanelli PC.",
1524,3101,13932,Efficacy and safety of the novel oral anticoagulants in atrial fibrillation: a systematic review and meta-analysis of the literature.,Efficacy and safety of the novel oral anticoagulants in atrial fibrillation: a systematic review and meta-analysis of the literature.,"Dentali F; Riva N; Crowther M; Turpie AG; Lip GY; Ageno W; Circulation, 2012 Nov 13; 126 (20): 2381-91. (journal article - meta analysis, research, systematic review) ISSN: 0009-7322 PMID: 23071159 CINAHL AN: 201175517","Dentali F(1), Riva N, Crowther M, Turpie AG, Lip GY, Ageno W.",
1525,3104,13548,Racial/ethnic disparities in HIV infection among people who inject drugs: an international systematic review and meta-analysis.,Racial/ethnic disparities in HIV infection among people who inject drugs: an international systematic review and meta-analysis.,"Des Jarlais, Don C.; Bramson, Heidi A.; Wong, Cherise; Gostnell, Karla; Cepeda, Javier; Arasteh, Kamyar; Hagan, Holly; Addiction, 2012 Dec; 107 (12): 2087-95. (journal article - meta analysis, research, systematic review, tables/charts) ISSN: 0965-2140 PMID: 22823178 CINAHL AN: 201174973","Des Jarlais DC(1), Bramson HA, Wong C, Gostnell K, Cepeda J, Arasteh K, Hagan H.",
1526,3108,13565,Meta-analysis of early nonmotor features and risk factors for Parkinson disease.,Meta-analysis of early nonmotor features and risk factors for Parkinson disease.,"Noyce AJ; Bestwick JP; Silveira-Moriyama L; Hawkes CH; Giovannoni G; Lees AJ; Schrag A; Annals of Neurology, 2012 Dec; 72 (6): 893-901. (journal article - meta analysis, research, systematic review) ISSN: 0364-5134 PMID: 23071076 CINAHL AN: 201190443","Noyce AJ(1), Bestwick JP, Silveira-Moriyama L, Hawkes CH, Giovannoni G, Lees AJ,  Schrag A.",
1527,3109,13576,Systematic review and meta-analyses of risk factors for childhood overweight identifiable during infancy.,Systematic review and meta-analyses of risk factors for childhood overweight identifiable during infancy.,"Weng SF; Redsell SA; Swift JA; Yang M; Glazebrook CP; Archives of Disease in Childhood, 2012 Dec; 97 (12): 1019-26. (journal article - meta analysis, research, systematic review) ISSN: 0003-9888 PMID: 23109090 CINAHL AN: 201176031","Weng SF(1), Redsell SA, Swift JA, Yang M, Glazebrook CP.",
1528,3115,13501,Amitriptyline versus placebo for major depressive disorder.,Amitriptyline versus placebo for major depressive disorder.,"Leucht C; Huhn M; Leucht S; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23235671 CINAHL AN: 201191740","Leucht C(1), Huhn M, Leucht S.",
1529,3116,13507,Antenatal cardiotocography for fetal assessment.,Antenatal cardiotocography for fetal assessment.,"Grivell RM; Alfirevic Z; Gyte GM; Devane D; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - meta analysis, research, systematic review) ISSN: 1469-493X PMID: 23235650 CINAHL AN: 201056911","Grivell RM(1), Alfirevic Z, Gyte GM, Devane D.",
1530,3117,13499,Antibiotics for exacerbations of chronic obstructive pulmonary disease.,Antibiotics for exacerbations of chronic obstructive pulmonary disease.,"Vollenweider DJ; Jarrett H; Steurer-Stey CA; Garcia-Aymerich J; Puhan MA; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23235687 CINAHL AN: 201191741","Vollenweider DJ(1), Jarrett H, Steurer-Stey CA, Garcia-Aymerich J, Puhan MA.",
1531,3118,13500,Behavioural interventions as adjuncts to pharmacotherapy for smoking cessation.,Behavioural interventions as adjuncts to pharmacotherapy for smoking cessation.,"Stead LF; Lancaster T; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - meta analysis, research, systematic review) ISSN: 1469-493X PMID: 23235680 CINAHL AN: 201191741","Stead LF(1), Lancaster T.",
1532,3119,13511,Early developmental intervention programmes post-hospital discharge to prevent motor and cognitive impairments in preterm infants.,Early developmental intervention programmes post-hospital discharge to prevent motor and cognitive impairments in preterm infants.,"Spittle A; Orton J; Anderson P; Boyd R; Doyle LW; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23235624 CINAHL AN: 200982526","Spittle A(1), Orton J, Anderson P, Boyd R, Doyle LW.",
1533,3120,13515,Early use of inhaled corticosteroids in the emergency department treatment of acute asthma.,Early use of inhaled corticosteroids in the emergency department treatment of acute asthma.,"Edmonds ML; Milan SJ; Camargo Jr CA; Pollack CV; Rowe BH; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23235589 CINAHL AN: 200982325","Edmonds ML(1), Milan SJ, Camargo CA Jr, Pollack CV, Rowe BH.",
1534,3121,13502,Green tea for weight loss and weight maintenance in overweight or obese adults.,Green tea for weight loss and weight maintenance in overweight or obese adults.,"Jurgens TM; Whelan AM; Killian L; Doucette S; Kirk S; Foy E; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - meta analysis, research, systematic review) ISSN: 1469-493X PMID: 23235664 CINAHL AN: 201191739","Jurgens TM(1), Whelan AM, Killian L, Doucette S, Kirk S, Foy E.",
1535,3123,13513,Interventions for actinic keratoses.,Interventions for actinic keratoses.,"Gupta AK; Paquet M; Villanueva E; Brintnell W; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - meta analysis, research, systematic review) ISSN: 1469-493X PMID: 23235610 CINAHL AN: 201191737","Gupta AK(1), Paquet M, Villanueva E, Brintnell W.",
1536,3125,13520,Interventions for treating proximal humeral fractures in adults.,Interventions for treating proximal humeral fractures in adults.,"Handoll HH; Ollivere BJ; Rollins KE; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23235575 CINAHL AN: 200982250","Handoll HH(1), Ollivere BJ, Rollins KE.",
1537,3126,13516,Interventions for vaginismus.,Interventions for vaginismus.,"Melnik T; Hawton K; McGuire H; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23235583 CINAHL AN: 200982298","Melnik T(1), Hawton K, McGuire H.",
1538,3127,27867,Intravenous immunoglobulin for myasthenia gravis.,Intravenous immunoglobulin for myasthenia gravis.,"Gajdos P; Chevret S; Toyka KV; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23235588 CINAHL AN: 200982375","Gajdos P(1), Chevret S, Toyka K.",
1539,3128,13512,Manipulative therapies for infantile colic.,Manipulative therapies for infantile colic.,"Dobson D; Lucassen PL; Miller JJ; Vlieger AM; Prescott P; Lewith G; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - meta analysis, research, systematic review) ISSN: 1469-493X PMID: 23235617 CINAHL AN: 201191737","Dobson D(1), Lucassen PL, Miller JJ, Vlieger AM, Prescott P, Lewith G.",
1540,3129,13510,Mobile phone messaging for facilitating self-management of long-term illnesses.,Mobile phone messaging for facilitating self-management of long-term illnesses.,"de Jongh T; Gurol-Urganci I; Vodopivec-Jamsek V; Car J; Atun R; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23235644 CINAHL AN: 201191738","de Jongh T(1), Gurol-Urganci I, Vodopivec-Jamsek V, Car J, Atun R.",
1541,3131,13518,Naftidrofuryl for intermittent claudication.,Naftidrofuryl for intermittent claudication.,"de Backer TLM; Vander Stichele R; Lehert P; Van Bortel L; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23235580 CINAHL AN: 200994248","de Backer TL(1), Vander Stichele R, Lehert P, Van Bortel L.",
1542,3132,13514,Non-invasive positive pressure ventilation for treatment of respiratory failure due to severe acute exacerbations of asthma.,Non-invasive positive pressure ventilation for treatment of respiratory failure due to severe acute exacerbations of asthma.,"Lim WJ; Mohammed Akram R; Carson KV; Mysore S; Labiszewski NA; Wedzicha JA; Rowe BH; Smith BJ; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23235608 CINAHL AN: 200982436","Lim WJ(1), Mohammed Akram R, Carson KV, Mysore S, Labiszewski NA, Wedzicha JA, Rowe BH, Smith BJ.",
1543,3133,13509,Psychological interventions for adults who have sexually offended or are at risk of offending.,Psychological interventions for adults who have sexually offended or are at risk  of offending.,"Dennis JA; Khan O; Ferriter M; Huband N; Powney MJ; Duggan C; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23235646 CINAHL AN: 201191738","Dennis JA(1), Khan O, Ferriter M, Huband N, Powney MJ, Duggan C.",
1544,3134,13503,Psychosocial interventions for reducing antipsychotic medication in care home residents.,Psychosocial interventions for reducing antipsychotic medication in care home residents.,"Richter T; Meyer G; MÃ¶hler R; KÃ¶pke S; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23235663 CINAHL AN: 201191739","Richter T(1), Meyer G, MÃ¶hler R, KÃ¶pke S.",
1545,3135,31502,"Quality of life after rectal resection for cancer, with or without permanent colostomy.","Quality of life after rectal resection for cancer, with or without permanent colostomy.","Pachler J; Wille-JÃ¸rgensen P; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23235607 CINAHL AN: 200982420","Pachler J(1), Wille-JÃ¸rgensen P.",
1546,3136,13517,Serenoa repens for benign prostatic hyperplasia.,Serenoa repens for benign prostatic hyperplasia.,"Tacklind J; MacDonald R; Rutks I; Stanke JU; Wilt TJ; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23235581 CINAHL AN: 200982286","Tacklind J(1), Macdonald R, Rutks I, Stanke JU, Wilt TJ.",
1547,3138,13504,Sweet-tasting solutions for needle-related procedural pain in infants one month to one year of age.,Sweet-tasting solutions for needle-related procedural pain in infants one month to one year of age.,"Kassab M; Foster JP; Foureur M; Fowler C; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23235662 CINAHL AN: 201191739","Kassab M(1), Foster JP, Foureur M, Fowler C.",
1548,3140,13505,Transparent cap colonoscopy versus standard colonoscopy to improve caecal intubation.,Transparent cap colonoscopy versus standard colonoscopy to improve caecal intubation.,"Morgan J; Thomas K; Lee-Robichaud H; Nelson RL; Braungart S; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - meta analysis, research, systematic review) ISSN: 1469-493X PMID: 23235654 CINAHL AN: 201191738","Morgan J(1), Thomas K, Lee-Robichaud H, Nelson RL, Braungart S.",
1549,3141,13519,Ursodeoxycholic acid for primary biliary cirrhosis.,Ursodeoxycholic acid for primary biliary cirrhosis.,"Rudic JS; Poropat G; Krstic MN; Bjelakovic G; Gluud C; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23235576 CINAHL AN: 200982257","Rudic JS(1), Poropat G, Krstic MN, Bjelakovic G, Gluud C.",
1550,3142,13506,Zinc supplementation for mental and motor development in children.,Zinc supplementation for mental and motor development in children.,"Gogia S; Sachdev HS; Cochrane Database of Systematic Reviews, 2012; (12): N.PAG. (journal article - meta analysis, research, systematic review) ISSN: 1469-493X PMID: 23235652 CINAHL AN: 201191738","Gogia S(1), Sachdev HS.",
1551,3143,13622,Acupuncture for cancer patients suffering from hiccups: a systematic review and meta-analysis.,Acupuncture for cancer patients suffering from hiccups: a systematic review and meta-analysis.,"Choi TY; Lee MS; Ernst E; Complementary Therapies in Medicine, 2012 Dec; 20 (6): 447-55. (journal article - meta analysis, research, systematic review) ISSN: 0965-2299 PMID: 23131378 CINAHL AN: 201174473","Choi TY(1), Lee MS, Ernst E.",
1552,3144,13629,Meta-analysis: efficacy of small bowel preparation for small bowel video capsule endoscopy.,Meta-analysis: efficacy of small bowel preparation for small bowel video capsule  endoscopy.,"Belsey J; Crosta C; Epstein O; Fischbach W; Layer P; Parente F; Halphen M; Current Medical Research & Opinion, 2012 Dec; 28 (12): 1883-90. (journal article - meta analysis, research, systematic review) ISSN: 0300-7995 PMID: 23136911 CINAHL AN: 201177369","Belsey J(1), Crosta C, Epstein O, Fischbach W, Layer P, Parente F, Halphen M.",
1553,3147,13640,Risk factors associated with HIV/HCV infection among entrants in methadone maintenance treatment clinics in China: A systematic review and meta-analysis.,Risk factors associated with HIV/HCV infection among entrants in methadone maintenance treatment clinics in China: a systematic review and meta-analysis.,"Zhuang X; Wang Y; Chow EP; Liang Y; Wilson DP; Zhang L; Drug & Alcohol Dependence, 2012 Dec 1; 126 (3): 286-95. (journal article - meta analysis, research, systematic review) ISSN: 0376-8716 PMID: 22726912 CINAHL AN: 201175675","Zhuang X(1), Wang Y, Chow EP, Liang Y, Wilson DP, Zhang L.",
1554,3156,13730,The effect of coffee consumption on blood pressure and the development of hypertension: a systematic review and meta-analysis.,The effect of coffee consumption on blood pressure and the development of hypertension: a systematic review and meta-analysis.,"Steffen M; Kuhle C; Hensrud D; Erwin PJ; Murad MH; Journal of Hypertension, 2012 Dec; 30 (12): 2245-54. (journal article - meta analysis, research, systematic review) ISSN: 0263-6352 PMID: 23032138 CINAHL AN: 201175626","Steffen M(1), Kuhle C, Hensrud D, Erwin PJ, Murad MH.",
1555,3158,13731,Genetic polymorphisms for estimating risk of atrial fibrillation: a literature-based meta-analysis.,Genetic polymorphisms for estimating risk of atrial fibrillation: a literature-based meta-analysis.,"Smith JG; Almgren P; EngstrÃ¶m G; Hedblad B; Platonov PG; Newton-Cheh C; Melander O; Journal of Internal Medicine, 2012 Dec; 272 (6): 573-82. (journal article - meta analysis, research, systematic review) ISSN: 0954-6820 PMID: 22690879 CINAHL AN: 201176131","Smith JG(1), Almgren P, EngstrÃ¶m G, Hedblad B, Platonov PG, Newton-Cheh C, Melander O.",
1556,3165,13800,Human papillomavirus related head and neck cancer survival: A systematic review and meta-analysis.,Human papillomavirus related head and neck cancer survival: a systematic review and meta-analysis.,"O'Rorke MA; Ellison MV; Murray LJ; Moran M; James J; Anderson LA; Oral Oncology, 2012 Dec; 48 (12): 1191-201. (journal article - meta analysis, research, systematic review) ISSN: 1368-8375 PMID: 22841677 CINAHL AN: 201175719","O'Rorke MA(1), Ellison MV, Murray LJ, Moran M, James J, Anderson LA.",
1557,3178,13476,Meniscal repair outcomes at greater than five years: a systematic literature review and meta-analysis.,Meniscal repair outcomes at greater than five years: a systematic literature review and meta-analysis.,"Nepple JJ; Dunn WR; Wright RW; Journal of Bone & Joint Surgery, American Volume, 2012 Dec 19; 94 (24): 2222-7. (journal article - meta analysis, research, systematic review) ISSN: 0021-9355 PMID: 23318612 CINAHL AN: 201190533","Nepple JJ(1), Dunn WR, Wright RW.",
1558,3187,12268,Antibiotics for acute otitis media in children.,Antibiotics for acute otitis media in children.,"Venekamp RP; Sanders S; Glasziou PP; Del Mar CB; Rovers MM; Cochrane Database of Systematic Reviews, 2013; (1): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23440776 CINAHL AN: 200982239","Venekamp RP(1), Sanders S, Glasziou PP, Del Mar CB, Rovers MM.",
1559,3189,12257,Combination chemotherapy for primary treatment of high-risk gestational trophoblastic tumour.,Combination chemotherapy for primary treatment of high-risk gestational trophoblastic tumour.,"Deng L; Zhang J; Wu T; Lawrie TA; Cochrane Database of Systematic Reviews, 2013; (1): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23440800 CINAHL AN: 200982499","Deng L(1), Zhang J, Wu T, Lawrie TA.",
1560,3190,12263,Depot versus daily administration of gonadotrophin-releasing hormone agonist protocols for pituitary down regulation in assisted reproduction cycles.,Depot versus daily administration of gonadotrophin-releasing hormone agonist protocols for pituitary down regulation in assisted reproduction cycles.,"Albuquerque LET; Tso LO; Saconato H; Albuquerque MCRM; Macedo CR; Cochrane Database of Systematic Reviews, 2013; (1): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23440788 CINAHL AN: 200982352","Albuquerque LE(1), Tso LO, Saconato H, Albuquerque MC, Macedo CR.",
1561,3191,12267,Discharge planning from hospital to home.,Discharge planning from hospital to home.,"Shepperd S; Lannin NA; Clemson LM; McCluskey A; Cameron ID; Barras SL; Cochrane Database of Systematic Reviews, 2013; (1): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23440778 CINAHL AN: 200982243","Shepperd S(1), Lannin NA, Clemson LM, McCluskey A, Cameron ID, Barras SL.",
1562,3192,12255,Human chorionic gonadotrophin (hCG) for preventing miscarriage.,Human chorionic gonadotrophin (hCG) for preventing miscarriage.,"Morley LC; Simpson N; Tang T; Cochrane Database of Systematic Reviews, 2013; (1): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23440828 CINAHL AN: 201204411","Morley LC(1), Simpson N, Tang T.",
1563,3193,12261,Interferon for interferon nonresponding and relapsing patients with chronic hepatitis C.,Interferon for interferon nonresponding and relapsing patients with chronic hepatitis C.,"Koretz RL; Pleguezuelo M; Arvaniti V; Barrera Baena P; Ciria R; Gurusamy KS; Davidson BR; Burroughs AK; Cochrane Database of Systematic Reviews, 2013; (1): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23440791 CINAHL AN: 200982367","Koretz RL(1), Pleguezuelo M, Arvaniti V, Barrera Baena P, Ciria R, Gurusamy KS, Davidson BR, Burroughs AK.",
1564,3194,12262,Interventions for preventing post-operative atrial fibrillation in patients undergoing heart surgery.,Interventions for preventing post-operative atrial fibrillation in patients undergoing heart surgery.,"Arsenault KA; Yusuf AM; Crystal E; Healey JS; Morillo CA; Nair GM; Whitlock RP; Cochrane Database of Systematic Reviews, 2013; (1): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23440790 CINAHL AN: 200982425","Arsenault KA(1), Yusuf AM, Crystal E, Healey JS, Morillo CA, Nair GM, Whitlock RP.",
1565,3197,12258,Pain relief for women undergoing oocyte retrieval for assisted reproduction.,Pain relief for women undergoing oocyte retrieval for assisted reproduction.,"Kwan I; Bhattacharya S; Knox F; McNeil A; Cochrane Database of Systematic Reviews, 2013; (1): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23440796 CINAHL AN: 200982455","Kwan I(1), Bhattacharya S, Knox F, McNeil A.",
1566,3199,12260,Screening for prostate cancer.,Screening for prostate cancer.,"Ilic D; Neuberger MM; Djulbegovic M; Dahm P; Cochrane Database of Systematic Reviews, 2013; (1): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23440794 CINAHL AN: 200982492","Ilic D(1), Neuberger MM, Djulbegovic M, Dahm P.",
1567,3200,12254,Slum upgrading strategies involving physical environment and infrastructure interventions and their effects on health and socio-economic outcomes.,Slum upgrading strategies involving physical environment and infrastructure interventions and their effects on health and socio-economic outcomes.,"Turley R; Saith R; Bhan N; Rehfuess E; Carter B; Cochrane Database of Systematic Reviews, 2013; (1): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23440845 CINAHL AN: 201204413","Turley R(1), Saith R, Bhan N, Rehfuess E, Carter B.",
1568,3201,12259,Statins for the primary prevention of cardiovascular disease.,Statins for the primary prevention of cardiovascular disease.,"Taylor F; Huffman MD; Macedo AF; Moore TH; Burke M; Davey Smith G; Ward K; Ebrahim S; Cochrane Database of Systematic Reviews, 2013; (1): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23440795 CINAHL AN: 201123608","Taylor F(1), Huffman MD, Macedo AF, Moore TH, Burke M, Davey Smith G, Ward K, Ebrahim S.",
1569,3203,12266,Vaccines for preventing pneumococcal infection in adults.,Vaccines for preventing pneumococcal infection in adults.,"Moberley S; Holden J; Tatham DP; Andrews RM; Cochrane Database of Systematic Reviews, 2013; (1): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23440780 CINAHL AN: 200982282","Moberley S(1), Holden J, Tatham DP, Andrews RM.",
1570,3204,12264,Vitamin C for preventing and treating the common cold.,Vitamin C for preventing and treating the common cold.,"HemilÃ_ H; Chalker E; Cochrane Database of Systematic Reviews, 2013; (1): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23440782 CINAHL AN: 200982262","HemilÃ_ H(1), Chalker E.",
1571,3220,12650,"Systematic review, meta-analysis and economic modelling of diagnostic strategies for suspected acute coronary syndrome.","Systematic review, meta-analysis and economic modelling of diagnostic strategies  for suspected acute coronary syndrome.","Goodacre S; Thokala P; Carroll C; Stevens J; Leaviss J; Al Khalaf M; Collinson P; Morris F; Evans P; Wang J; Health Technology Assessment, 2013 Jan; 17 (1): 1-188. (journal article - meta analysis, research, systematic review) ISSN: 1366-5278 PMID: 23331845 CINAHL AN: 201190064","Goodacre S(1), Thokala P, Carroll C, Stevens JW, Leaviss J, Al Khalaf M, Collinson P, Morris F, Evans P, Wang J.",
1572,3232,12763,C-reactive protein and later preeclampsia: systematic review and meta-analysis taking into account the weight status.,C-reactive protein and later preeclampsia: systematic review and meta-analysis taking into account the weight status.,"Rebelo F; SchlÃ_ssel MM; Vaz JS; Franco-Sena AB; Pinto TJ; Bastos FI; Adegboye AR; Kac G; Journal of Hypertension, 2013 Jan; 31 (1): 16-26. (journal article - meta analysis, research, systematic review) ISSN: 0263-6352 PMID: 23188419 CINAHL AN: 201191049","Rebelo F(1), SchlÃ_ssel MM, Vaz JS, Franco-Sena AB, Pinto TJ, Bastos FI, Adegboye  AR, Kac G.",
1573,3233,12778,The effects of graded motor imagery and its components on chronic pain: a systematic review and meta-analysis.,The effects of graded motor imagery and its components on chronic pain: a systematic review and meta-analysis.,"Bowering KJ; O'Connell NE; Tabor A; Catley MJ; Leake HB; Moseley GL; Stanton TR; Journal of Pain, 2013 Jan; 14 (1): 3-13. (journal article - meta analysis, research, systematic review) ISSN: 1526-5900 PMID: 23158879 CINAHL AN: 201189414","Bowering KJ(1), O'Connell NE, Tabor A, Catley MJ, Leake HB, Moseley GL, Stanton TR.",
1574,3238,12858,Inflammation in complex regional pain syndrome: A systematic review and meta-analysis.,Inflammation in complex regional pain syndrome: a systematic review and meta-analysis.,"Parkitny L; McAuley JH; Di Pietro F; Stanton TR; O'Connell NE; Marinus J; van Hilten JJ; Moseley GL; Neurology, 2013 Jan 1; 80 (1): 106-17. (journal article - meta analysis, research, systematic review) ISSN: 0028-3878 PMID: 23267031 CINAHL AN: 201180365","Parkitny L(1), McAuley JH, Di Pietro F, Stanton TR, O'Connell NE, Marinus J, van  Hilten JJ, Moseley GL.",
1575,3244,13422,Clipping versus coiling for ruptured intracranial aneurysms: a systematic review and meta-analysis.,Clipping versus coiling for ruptured intracranial aneurysms: a systematic review  and meta-analysis.,"Li H; Pan R; Wang H; Rong X; Yin Z; Milgrom DP; Shi X; Tang Y; Peng Y; Stroke (00392499), 2013 Jan; 44 (1): 29-37. (journal article - meta analysis, research, systematic review) ISSN: 0039-2499 PMID: 23238862 CINAHL AN: 201180374","Li H(1), Pan R, Wang H, Rong X, Yin Z, Milgrom DP, Shi X, Tang Y, Peng Y.",
1576,3249,12294,Acetabular components in total hip arthroplasty: is there evidence that cementless fixation is better?,Acetabular components in total hip arthroplasty: is there evidence that cementless fixation is better?,"Toossi N; Adeli B; Timperley AJ; Haddad FS; Maltenfort M; Parvizi J; Journal of Bone & Joint Surgery, American Volume, 2013 Jan 16; 95 (2): 168-74. (journal article - meta analysis, research, systematic review) ISSN: 0021-9355 PMID: 23324965 CINAHL AN: 201189988","Toossi N(1), Adeli B, Timperley AJ, Haddad FS, Maltenfort M, Parvizi J.",
1577,3257,11957,Appearance-based interventions to reduce ultraviolet exposure and/or increase sun protection intentions and behaviours: A systematic review and meta-analyses.,Appearance-based interventions to reduce ultraviolet exposure and/or increase sun protection intentions and behaviours: a systematic review and meta-analyses.,"Williams AL; Grogan S; Clark-Carter D; Buckley E; British Journal of Health Psychology, 2013 Feb; 18 (1): 182-217. (journal article - meta analysis, research, systematic review) ISSN: 1359-107X PMID: 22989352 CINAHL AN: 201189923","Williams AL(1), Grogan S, Clark-Carter D, Buckley E.",
1578,3259,11846,Chest physiotherapy for pneumonia in adults.,Chest physiotherapy for pneumonia in adults.,"Yang M; Yan Y; Yin X; Wang BY; Wu T; Liu GJ; Dong BR; Cochrane Database of Systematic Reviews, 2013; (2): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23450568 CINAHL AN: 201084148","Yang M(1), Yan Y, Yin X, Wang BY, Wu T, Liu GJ, Dong BR.",
1579,3260,11839,Ciclesonide versus other inhaled corticosteroids for chronic asthma in children.,Ciclesonide versus other inhaled corticosteroids for chronic asthma in children.,"Kramer S; Rottier BL; Scholten RJ; Boluyt N; Cochrane Database of Systematic Reviews, 2013; (2): N.PAG. (journal article - meta analysis, research, systematic review) ISSN: 1469-493X PMID: 23450613 CINAHL AN: 201204417","Kramer S(1), Rottier BL, Scholten RJ, Boluyt N.",
1580,3261,11851,Drug therapy for preventing post-dural puncture headache.,Drug therapy for preventing post-dural puncture headache.,"Basurto Ona X; Uriona Tuma SM; MartÃ_nez GarcÃ_a L; SolÃ  I; Bonfill Cosp X; Cochrane Database of Systematic Reviews, 2013; (2): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23450533 CINAHL AN: 201204416","Basurto Ona X(1), Uriona Tuma SM, MartÃ_nez GarcÃ_a L, SolÃ  I, Bonfill Cosp X.",
